,AAPL,AMD,CDNS,CHTR,CMG,DG,DHR,IDXX,MKTX,MSCI,NOW,NVDA,ODFL,PAYC,QCOM,SNPS,TER,TGT,TYL,WST
AAPL,0.2627670931992293,0.3735066592281582,0.23309640707752224,0.18358197580792546,0.24826234488777302,0.17519606084004755,0.1884909258815392,0.19556421592204595,0.20291253555252087,0.2399435282046538,0.28209941001290023,0.3174624467059371,0.21337468909243376,0.267225367208628,0.24494019692853386,0.22552661703985835,0.26881250324769546,0.24489917959387258,0.1870656359274157,0.23783901567516996
AMD,0.3735066592281582,0.552097055610959,0.33552175876644436,0.26460680929995345,0.3516595804061827,0.25133618714002526,0.27172491244434904,0.2797589375057794,0.2909579489880209,0.35111705364003715,0.40643471218208777,0.4554984311777976,0.3041111687470206,0.3800934029050714,0.3476809184023276,0.32023610471331365,0.3771822070268486,0.348575742436839,0.269163494612893,0.3415815330739561
CDNS,0.23309640707752224,0.33552175876644436,0.23483982802133793,0.16597388570695412,0.24143549025970076,0.16270595398350843,0.18084091013411016,0.19443103048527965,0.2000720006384184,0.22853204646734124,0.2714392139644888,0.28686098972027263,0.19376080123538084,0.2590739241367414,0.227335833184136,0.217535332176343,0.2488787080011577,0.21539157368486792,0.16890068578595635,0.22086392998102405
CHTR,0.18358197580792546,0.26460680929995345,0.16597388570695412,0.13831264196855625,0.17835256244658082,0.1302737058875566,0.13472708155977423,0.13922220620195314,0.1519423778767361,0.1792964434525102,0.19997358377371727,0.21685155219604813,0.15153637938997305,0.20400070855442,0.17550429842131227,0.1622529147946244,0.1976385614195448,0.18120047388248262,0.14142811014331377,0.16586569712369878
CMG,0.24826234488777302,0.3516595804061827,0.24143549025970076,0.17835256244658082,0.2620346553727449,0.17498638819179513,0.1899055591179105,0.20395735193526646,0.20990785152755181,0.23591507248782742,0.28218021976687124,0.30105563290214854,0.20582940916619058,0.27662964483876823,0.2414842491369643,0.22979434426487436,0.2654674709181384,0.23983031107343522,0.18093290954322042,0.23318811669201908
DG,0.17519606084004755,0.25133618714002526,0.16270595398350843,0.1302737058875566,0.17498638819179513,0.13303899096491978,0.13067435050086015,0.13788899034278743,0.15589402072276767,0.1729440565693664,0.19370634779874138,0.2126736522489832,0.147636054429664,0.19191271528614415,0.1665026373250808,0.16028533113412086,0.19093429682436713,0.17667975297926625,0.13811711352583103,0.1649867337225042
DHR,0.1884909258815392,0.27172491244434904,0.18084091013411016,0.13472708155977423,0.1899055591179105,0.13067435050086015,0.14636788710888085,0.15438446932166172,0.15535635645849027,0.1794110336163404,0.21458967022441766,0.23020913567789125,0.15449334006285112,0.21072785990723159,0.1858845544062949,0.17116128868827699,0.200005388471578,0.18054575530263875,0.13780371574910902,0.17567540723664773
IDXX,0.19556421592204595,0.2797589375057794,0.19443103048527965,0.13922220620195314,0.20395735193526646,0.13788899034278743,0.15438446932166172,0.17335825985393774,0.16697502495594052,0.1848104202843162,0.22681222388508204,0.2393693616926786,0.16074176958096148,0.22243929620705047,0.20209396815905914,0.18315979861199536,0.21256515001171838,0.18867058518452043,0.14126423429315446,0.18633217828442036
MKTX,0.20291253555252087,0.2909579489880209,0.2000720006384184,0.1519423778767361,0.20990785152755181,0.15589402072276767,0.15535635645849027,0.16697502495594052,0.20155714990171072,0.21307192145705728,0.23270937936288597,0.24519234793063366,0.17416013002973135,0.2401580533415398,0.1933592025450489,0.1933415078708006,0.22968060517255268,0.20164701104731805,0.16643175215311998,0.1961027960542202
MSCI,0.2399435282046538,0.35111705364003715,0.22853204646734124,0.1792964434525102,0.23591507248782742,0.1729440565693664,0.1794110336163404,0.1848104202843162,0.21307192145705728,0.2553229937717498,0.2729787356419539,0.2897433983871613,0.20305587853007057,0.27173494565291395,0.22285202719149516,0.21795816560747402,0.2620454026915221,0.22704783229896638,0.1916598670379006,0.22340737575764563
NOW,0.28209941001290023,0.40643471218208777,0.2714392139644888,0.19997358377371727,0.28218021976687124,0.19370634779874138,0.21458967022441766,0.22681222388508204,0.23270937936288597,0.2729787356419539,0.33106144232169626,0.3503400856878261,0.23305703348833906,0.31410686852403424,0.26928581329550383,0.25631260399325473,0.29081381488311225,0.2610741198456598,0.20646519041298256,0.2643199574558095
NVDA,0.3174624467059371,0.4554984311777976,0.28686098972027263,0.21685155219604813,0.30105563290214854,0.2126736522489832,0.23020913567789125,0.2393693616926786,0.24519234793063366,0.2897433983871613,0.3503400856878261,0.40132800562153614,0.26130081476321837,0.31161959650122134,0.2924714880799263,0.2745981392846991,0.3149120823387317,0.2893251184158749,0.22365679899141924,0.2959643971645454
ODFL,0.21337468909243376,0.3041111687470206,0.19376080123538084,0.15153637938997305,0.20582940916619058,0.147636054429664,0.15449334006285112,0.16074176958096148,0.17416013002973135,0.20305587853007057,0.23305703348833906,0.26130081476321837,0.17978991204833716,0.22144322073025194,0.19597336758487524,0.1873653818203483,0.22421188637622586,0.19937082349289564,0.15920738665892398,0.1979744662311608
PAYC,0.267225367208628,0.3800934029050714,0.2590739241367414,0.20400070855442,0.27662964483876823,0.19191271528614415,0.21072785990723159,0.22243929620705047,0.2401580533415398,0.27173494565291395,0.31410686852403424,0.31161959650122134,0.22144322073025194,0.3705474721259232,0.2750570255220811,0.25205668899561817,0.3091202939855184,0.2735920697828911,0.2218320193983682,0.24045236884118906
QCOM,0.24494019692853386,0.3476809184023276,0.227335833184136,0.17550429842131227,0.2414842491369643,0.1665026373250808,0.1858845544062949,0.20209396815905914,0.1933592025450489,0.22285202719149516,0.26928581329550383,0.2924714880799263,0.19597336758487524,0.2750570255220811,0.26732642280378843,0.21794330790047944,0.2655412668717501,0.24351969325375666,0.17610970766082956,0.22174882281191993
SNPS,0.22552661703985835,0.32023610471331365,0.217535332176343,0.1622529147946244,0.22979434426487436,0.16028533113412086,0.17116128868827699,0.18315979861199536,0.1933415078708006,0.21795816560747402,0.25631260399325473,0.2745981392846991,0.1873653818203483,0.25205668899561817,0.21794330790047944,0.2086311558545242,0.24254162436439214,0.2154029213198582,0.16808046887907555,0.2111515997209148
TER,0.26881250324769546,0.3771822070268486,0.2488787080011577,0.1976385614195448,0.2654674709181384,0.19093429682436713,0.200005388471578,0.21256515001171838,0.22968060517255268,0.2620454026915221,0.29081381488311225,0.3149120823387317,0.22421188637622586,0.3091202939855184,0.2655412668717501,0.24254162436439214,0.3120393590040739,0.2654212885076244,0.20991895496525825,0.2443668501981792
TGT,0.24489917959387258,0.348575742436839,0.21539157368486792,0.18120047388248262,0.23983031107343522,0.17667975297926625,0.18054575530263875,0.18867058518452043,0.20164701104731805,0.22704783229896638,0.2610741198456598,0.2893251184158749,0.19937082349289564,0.2735920697828911,0.24351969325375666,0.2154029213198582,0.2654212885076244,0.2609016220831476,0.18707546984220047,0.2206783452160263
TYL,0.1870656359274157,0.269163494612893,0.16890068578595635,0.14142811014331377,0.18093290954322042,0.13811711352583103,0.13780371574910902,0.14126423429315446,0.16643175215311998,0.1916598670379006,0.20646519041298256,0.22365679899141924,0.15920738665892398,0.2218320193983682,0.17610970766082956,0.16808046887907555,0.20991895496525825,0.18707546984220047,0.159263164202426,0.17183888904951292
WST,0.23783901567516996,0.3415815330739561,0.22086392998102405,0.16586569712369878,0.23318811669201908,0.1649867337225042,0.17567540723664773,0.18633217828442036,0.1961027960542202,0.22340737575764563,0.2643199574558095,0.2959643971645454,0.1979744662311608,0.24045236884118906,0.22174882281191993,0.2111515997209148,0.2443668501981792,0.2206783452160263,0.17183888904951292,0.22720629368909107
